student_id,year_of_study,major,study_hours_per_day,study_schedule,study_environment,gpa,avg_sleep_hours,sleep_quality,focus_level,productivity_level,stress_level,stress_factors,frequency_of_overwhelm,social_media_hours,social_media_impact,extracurricular_participation,extracurricular_hours,career_preparedness,internship_experience,job_confidence,part_time_job,work_hours_per_week,financial_stress
165,1,SOLS,3-4,Weekdays only,Noisy,7.34,4-5,Poor,5,4,9,Personal,Sometimes,1-2,Positive,Yes,<1,Somewhat,Yes,9,No,NA,Yes
166,4,SOL,1-2,Sporadic,No dedicated space,7.93,8+,Excellent,8,5,3,Time Management,Always,3-4,Positive,No,4-6,Somewhat,Yes,7,No,NA,No
167,2,SOL,1-2,Weekdays only,Quiet,9.0,6-7,Good,5,6,8,Time Management,Always,<1,Negative,Yes,4-6,Not at all,No,8,Yes,NA,No
168,1,SOCS,1-2,Daily study routine,Quiet,4.75,8+,Good,4,5,5,Academics,Sometimes,<1,No effect,No,6+,Fully,Yes,4,No,NA,No
169,1,SOB,1-2,Sporadic,Noisy,8.42,4-5,Fair,5,4,4,Personal,Sometimes,1-2,Positive,Yes,4-6,Somewhat,No,5,No,NA,Yes
170,3,SOB,3-4,Weekends only,Quiet,8.07,6-7,Poor,7,6,9,Time Management,Often,1-2,Positive,No,4-6,Fully,Yes,7,No,NA,No
171,3,SOB,1-2,Weekdays only,Noisy,6.74,6-7,Fair,6,3,5,Academics,Often,4+,Positive,No,4-6,Somewhat,No,7,No,NA,No
172,1,SOD,3-4,Weekdays only,Quiet,7.49,6-7,Good,5,4,8,Academics,Often,4+,No effect,Yes,1-3,Not at all,No,7,No,NA,No
173,3,SOAE,3-4,Daily study routine,Noisy,5.42,4-5,Fair,9,7,4,Time Management,Sometimes,3-4,Positive,No,<1,Somewhat,No,4,Yes,NA,Yes
174,1,SOD,3-4,Sporadic,No dedicated space,8.94,6-7,Excellent,6,8,6,Finance,Always,3-4,Negative,Yes,<1,Somewhat,No,6,No,NA,Yes
175,3,SOAE,5-6,Daily study routine,Quiet,7.33,6-7,Excellent,4,4,5,Academics,Often,3-4,Negative,No,<1,Not at all,Yes,9,No,NA,No
176,1,SOB,3-4,Weekdays only,Quiet,5.88,6-7,Good,8,6,5,Academics,Sometimes,<1,No effect,Yes,1-3,Somewhat,No,9,Yes,NA,No
177,3,SOB,5-6,Daily study routine,Noisy,9.83,4-5,Fair,8,9,8,Academics,Sometimes,3-4,Negative,Yes,1-3,Fully,No,8,No,NA,No
178,2,SOD,3-4,Sporadic,Noisy,8.68,8+,Poor,6,8,7,Personal,Always,1-2,Positive,No,4-6,Fully,Yes,6,No,NA,Yes
179,5,SOD,1-2,Daily study routine,Quiet,6.62,<4,Good,8,4,8,Finance,Sometimes,1-2,Negative,No,6+,Somewhat,Yes,9,No,NA,No
180,1,SOAE,More than 6 hours,Sporadic,Quiet,10.0,6-7,Poor,5,3,5,Academics,Sometimes,3-4,Maybe,Yes,1-3,Somewhat,No,8,No,NA,No
181,2,SOL,1-2,Daily study routine,Noisy,8.64,8+,Good,6,9,4,Academics,Often,1-2,Negative,No,1-3,Somewhat,No,8,No,NA,No
182,1,SOAE,1-2,Daily study routine,Quiet,8.46,6-7,Fair,7,3,7,Finance,Always,3-4,Maybe,Yes,6+,Somewhat,No,7,No,NA,No
183,5,SOD,5-6,Daily study routine,No dedicated space,7.71,6-7,Fair,5,7,8,Finance,Often,1-2,No effect,Yes,<1,Not at all,No,5,No,NA,No
184,4,SOLS,1-2,Weekdays only,Quiet,8.02,6-7,Poor,5,9,9,Academics,Often,3-4,Positive,No,1-3,Fully,No,7,No,NA,No
185,2,SOD,5-6,Weekdays only,Quiet,8.82,8+,Good,5,5,8,Time Management,Rarely,<1,Negative,Yes,<1,Somewhat,No,4,No,NA,No
186,3,SOLS,3-4,Daily study routine,No dedicated space,10.0,4-5,Fair,7,9,5,Academics,Always,3-4,Positive,Yes,1-3,Fully,No,9,No,NA,Yes
187,4,SOCS,5-6,Weekdays only,Noisy,8.309999999999999,6-7,Fair,4,8,5,Academics,Sometimes,3-4,Negative,No,<1,Not at all,Yes,8,No,NA,Yes
188,3,SOD,3-4,Sporadic,Quiet,6.97,6-7,Fair,9,9,6,Finance,Always,1-2,Positive,Yes,4-6,Fully,No,5,No,NA,No
189,3,SOCS,3-4,Sporadic,No dedicated space,6.58,6-7,Good,8,6,8,Academics,Often,1-2,Negative,No,1-3,Somewhat,No,9,No,NA,No
190,1,SOL,5-6,Daily study routine,Noisy,8.780000000000001,4-5,Fair,6,6,5,Personal,Sometimes,<1,Maybe,Yes,<1,Fully,No,8,No,NA,Yes
191,1,SOAE,1-2,Weekdays only,Quiet,7.199999999999999,6-7,Poor,4,5,9,Personal,Often,<1,Positive,Yes,<1,Somewhat,No,8,No,NA,Yes
192,4,SOLS,More than 6 hours,Weekdays only,Quiet,9.73,6-7,Good,6,9,3,Personal,Often,3-4,No effect,Yes,1-3,Not at all,No,7,No,NA,No
193,5,SOAE,1-2,Weekdays only,Quiet,7.02,<4,Fair,8,3,7,Academics,Always,4+,Positive,No,6+,Somewhat,No,5,No,NA,No
194,3,SOCS,3-4,Daily study routine,Quiet,8.51,8+,Good,7,3,3,Academics,Often,1-2,Positive,No,1-3,Somewhat,Yes,5,No,NA,No
195,2,SOLS,1-2,Daily study routine,No dedicated space,6.17,<4,Fair,5,4,7,Academics,Sometimes,3-4,No effect,Yes,1-3,Somewhat,Yes,9,No,NA,No
196,2,SOAE,3-4,Sporadic,Quiet,6.19,4-5,Poor,5,7,9,Finance,Often,3-4,Negative,Yes,<1,Somewhat,No,8,No,NA,No
197,4,SOD,1-2,Weekends only,Noisy,5.06,<4,Excellent,7,8,8,Personal,Sometimes,1-2,No effect,No,1-3,Not at all,No,5,Yes,NA,No
198,4,SOB,5-6,Sporadic,No dedicated space,9.96,<4,Poor,4,7,6,Personal,Sometimes,3-4,Positive,Yes,1-3,Fully,Yes,5,No,NA,Yes
199,4,SOCS,5-6,Sporadic,Noisy,9.21,8+,Fair,4,9,5,Personal,Often,3-4,Negative,No,1-3,Somewhat,No,9,Yes,NA,No
200,4,SOAE,More than 6 hours,Weekdays only,Quiet,6.5,4-5,Fair,6,7,5,Time Management,Always,1-2,No effect,Yes,<1,Fully,Yes,7,Yes,NA,No
201,3,SOCS,1-2,Sporadic,Quiet,8.15,6-7,Fair,7,4,5,Personal,Often,1-2,Negative,No,1-3,Fully,No,6,No,NA,Yes
202,1,SOHST,3-4,Weekends only,Quiet,10.0,4-5,Fair,4,7,8,Academics,Sometimes,<1,Negative,Yes,1-3,Somewhat,No,4,No,NA,No
203,1,SOCS,3-4,Weekdays only,Quiet,6.43,6-7,Good,7,5,7,Academics,Often,4+,Maybe,No,6+,Somewhat,No,6,Yes,NA,No
204,4,SOLS,1-2,Daily study routine,No dedicated space,7.0,6-7,Poor,8,4,9,Finance,Sometimes,4+,Negative,No,4-6,Somewhat,Yes,5,Yes,NA,No
205,3,SOHST,1-2,Weekdays only,Quiet,5.79,4-5,Good,5,5,5,Academics,Often,3-4,Maybe,Yes,1-3,Somewhat,No,8,No,NA,No
206,1,SOLS,3-4,Daily study routine,Quiet,8.44,4-5,Poor,5,9,3,Academics,Sometimes,<1,No effect,Yes,1-3,Fully,No,4,No,NA,No
207,1,SOB,3-4,Daily study routine,Noisy,5.75,8+,Fair,5,4,5,Finance,Always,1-2,No effect,No,<1,Fully,No,4,No,NA,No
208,3,SOHST,3-4,Daily study routine,No dedicated space,7.39,4-5,Fair,7,9,8,Personal,Sometimes,<1,Positive,No,4-6,Somewhat,No,8,No,NA,No
209,1,SOD,3-4,Weekends only,No dedicated space,8.97,6-7,Poor,7,9,9,Academics,Often,<1,Negative,Yes,1-3,Not at all,No,4,No,NA,Yes
210,1,SOCS,1-2,Daily study routine,Quiet,8.35,4-5,Fair,6,7,6,Personal,Often,3-4,No effect,Yes,<1,Fully,No,8,No,NA,No
211,3,SOAE,1-2,Daily study routine,Noisy,7.140000000000001,6-7,Poor,5,5,9,Personal,Often,4+,Positive,No,<1,Somewhat,Yes,4,No,NA,No
212,3,SOL,1-2,Daily study routine,Noisy,5.99,4-5,Fair,6,9,3,Academics,Often,4+,Positive,Yes,4-6,Somewhat,No,9,Yes,NA,Yes
213,3,SOCS,More than 6 hours,Weekends only,Noisy,6.61,6-7,Fair,5,5,5,Academics,Rarely,3-4,Negative,No,<1,Somewhat,No,9,No,NA,Yes
214,1,SOCS,1-2,Weekdays only,Noisy,5.36,4-5,Excellent,6,5,5,Academics,Often,<1,Positive,Yes,1-3,Not at all,No,6,No,NA,No
215,4,SOB,1-2,Daily study routine,Quiet,5.8,8+,Excellent,6,4,4,Personal,Always,1-2,Maybe,No,1-3,Not at all,Yes,4,No,NA,No
216,1,SOD,1-2,Weekdays only,No dedicated space,5.45,4-5,Good,8,6,7,Personal,Sometimes,1-2,No effect,No,<1,Somewhat,Yes,7,No,NA,Yes
217,2,SOL,5-6,Daily study routine,Quiet,8.59,6-7,Excellent,6,7,3,Time Management,Often,3-4,Negative,No,<1,Fully,Yes,8,No,NA,Yes
218,4,SOHST,More than 6 hours,Daily study routine,Noisy,8.49,6-7,Good,7,9,4,Finance,Sometimes,3-4,Positive,Yes,4-6,Not at all,No,4,Yes,NA,No
219,3,SOHST,5-6,Daily study routine,Noisy,8.76,4-5,Poor,6,5,9,Academics,Sometimes,1-2,No effect,No,4-6,Somewhat,No,9,Yes,NA,Yes
220,4,SOHST,3-4,Daily study routine,Noisy,9.3,6-7,Poor,5,8,6,Academics,Often,1-2,Negative,Yes,<1,Fully,No,9,Yes,NA,No
221,3,SOLS,3-4,Sporadic,Noisy,6.89,4-5,Good,6,6,7,Personal,Rarely,<1,Maybe,Yes,4-6,Somewhat,No,8,No,NA,No
222,3,SOLS,1-2,Daily study routine,Noisy,4.43,8+,Good,4,9,3,Academics,Often,1-2,Negative,Yes,1-3,Not at all,Yes,7,No,NA,No
223,1,SOAE,More than 6 hours,Sporadic,Noisy,7.95,8+,Good,9,8,5,Academics,Always,1-2,Negative,Yes,1-3,Not at all,No,4,No,NA,No
224,2,SOL,5-6,Daily study routine,Quiet,9.38,8+,Poor,5,7,9,Academics,Sometimes,<1,Negative,No,1-3,Fully,No,4,Yes,NA,Yes
225,2,SOHST,3-4,Weekdays only,No dedicated space,8.52,<4,Fair,4,7,3,Academics,Sometimes,1-2,Maybe,Yes,6+,Somewhat,No,7,No,NA,No
226,1,SOLS,5-6,Weekdays only,Quiet,9.11,6-7,Good,5,5,5,Academics,Often,3-4,Negative,No,1-3,Not at all,No,7,No,NA,Yes
227,5,SOAE,3-4,Daily study routine,Quiet,9.45,6-7,Excellent,7,5,7,Academics,Sometimes,1-2,Negative,No,<1,Fully,No,7,No,NA,No
228,2,SOD,3-4,Weekdays only,No dedicated space,7.22,8+,Fair,9,9,5,Academics,Often,<1,Positive,No,4-6,Somewhat,No,9,No,NA,No
229,4,SOAE,More than 6 hours,Daily study routine,Noisy,10.0,6-7,Good,9,4,6,Academics,Often,<1,No effect,Yes,1-3,Somewhat,Yes,8,Yes,15+,Yes
230,3,SOLS,5-6,Weekends only,Noisy,9.73,6-7,Poor,7,6,9,Personal,Sometimes,1-2,No effect,Yes,<1,Somewhat,No,7,No,NA,No
231,4,SOB,3-4,Daily study routine,No dedicated space,5.0,6-7,Good,9,9,8,Personal,Always,1-2,Negative,No,1-3,Fully,No,8,No,NA,No
232,3,SOB,3-4,Daily study routine,Noisy,10.0,6-7,Good,7,6,5,Academics,Often,1-2,Negative,Yes,1-3,Somewhat,No,6,Yes,NA,No
233,3,SOHST,1-2,Daily study routine,Quiet,5.35,4-5,Poor,4,5,6,Personal,Sometimes,1-2,Positive,Yes,4-6,Not at all,Yes,4,No,NA,No
234,2,SOB,3-4,Daily study routine,Quiet,5.95,6-7,Good,8,7,8,Academics,Rarely,1-2,Positive,Yes,1-3,Somewhat,Yes,4,No,NA,No
235,1,SOHST,1-2,Daily study routine,Quiet,7.289999999999999,6-7,Poor,5,5,9,Finance,Often,3-4,Positive,Yes,<1,Somewhat,No,5,No,NA,No
236,4,SOHST,3-4,Weekends only,Quiet,5.0,6-7,Good,7,7,7,Time Management,Sometimes,1-2,Positive,No,1-3,Somewhat,No,6,No,NA,No
237,2,SOLS,More than 6 hours,Sporadic,Quiet,7.96,6-7,Fair,5,9,7,Personal,Sometimes,3-4,Negative,Yes,1-3,Fully,No,7,Yes,15+,No
238,1,SOB,3-4,Weekdays only,Noisy,9.84,6-7,Poor,4,7,9,Personal,Rarely,1-2,Positive,Yes,<1,Somewhat,Yes,7,No,NA,No
239,3,SOHST,3-4,Sporadic,Noisy,8.33,4-5,Poor,8,5,9,Academics,Sometimes,<1,Positive,Yes,1-3,Somewhat,Yes,9,No,NA,Yes
240,1,SOL,1-2,Daily study routine,Quiet,7.720000000000001,6-7,Good,4,3,3,Academics,Always,1-2,No effect,Yes,4-6,Not at all,No,6,Yes,NA,No
241,5,SOD,1-2,Weekends only,Quiet,5.51,6-7,Fair,9,6,6,Time Management,Often,1-2,Negative,Yes,<1,Fully,No,7,No,NA,No
242,5,SOAE,3-4,Weekdays only,Noisy,5.19,6-7,Good,5,8,6,Academics,Often,4+,Negative,Yes,1-3,Somewhat,No,5,Yes,NA,No
243,5,SOAE,1-2,Daily study routine,No dedicated space,7.5600000000000005,<4,Poor,8,7,9,Academics,Sometimes,3-4,Negative,Yes,<1,Somewhat,No,8,No,NA,No
244,2,SOLS,1-2,Weekdays only,Quiet,7.9,4-5,Excellent,9,7,4,Personal,Sometimes,4+,Negative,No,<1,Not at all,No,4,Yes,NA,No
245,1,SOB,3-4,Weekdays only,No dedicated space,8.83,4-5,Good,8,3,4,Personal,Sometimes,4+,Positive,Yes,<1,Fully,Yes,6,Yes,NA,No
246,5,SOB,5-6,Daily study routine,Quiet,8.809999999999999,6-7,Good,9,9,8,Time Management,Rarely,3-4,No effect,Yes,<1,Fully,Yes,4,No,NA,No
247,2,SOHST,3-4,Daily study routine,Quiet,6.05,<4,Fair,4,9,8,Academics,Always,1-2,Positive,Yes,4-6,Fully,No,8,Yes,NA,Yes
248,5,SOCS,1-2,Daily study routine,Quiet,9.0,6-7,Fair,7,9,4,Time Management,Often,1-2,Negative,Yes,<1,Not at all,No,6,No,NA,Yes
249,5,SOHST,3-4,Sporadic,No dedicated space,8.22,8+,Poor,5,8,9,Academics,Often,4+,Negative,No,1-3,Fully,Yes,8,Yes,NA,No
250,4,SOD,3-4,Daily study routine,Noisy,7.24,4-5,Poor,6,4,9,Academics,Often,3-4,No effect,Yes,<1,Fully,No,7,No,NA,No
251,2,SOL,3-4,Daily study routine,Quiet,7.25,6-7,Excellent,6,3,8,Finance,Always,<1,Negative,Yes,6+,Fully,No,7,Yes,5-10,No
252,2,SOAE,3-4,Weekdays only,Noisy,7.72,6-7,Poor,4,8,5,Academics,Always,3-4,Negative,Yes,1-3,Somewhat,Yes,7,Yes,NA,Yes
253,4,SOHST,1-2,Daily study routine,Quiet,8.1,8+,Poor,5,3,9,Academics,Sometimes,<1,Positive,No,1-3,Fully,Yes,8,No,NA,Yes
254,2,SOCS,3-4,Weekends only,Quiet,7.78,6-7,Good,5,7,4,Finance,Sometimes,1-2,Negative,Yes,<1,Somewhat,Yes,8,No,NA,Yes
255,1,SOCS,3-4,Sporadic,No dedicated space,8.79,6-7,Good,4,6,6,Academics,Sometimes,1-2,Maybe,No,1-3,Fully,No,8,No,NA,No
256,3,SOHST,5-6,Daily study routine,No dedicated space,8.73,6-7,Poor,5,3,9,Academics,Sometimes,3-4,No effect,Yes,<1,Somewhat,Yes,4,No,NA,No
257,5,SOLS,3-4,Daily study routine,Noisy,7.33,6-7,Poor,7,4,9,Academics,Often,3-4,Positive,No,4-6,Somewhat,No,8,Yes,NA,Yes
258,3,SOAE,3-4,Weekdays only,Noisy,8.46,6-7,Fair,4,5,5,Academics,Sometimes,1-2,Negative,No,1-3,Somewhat,No,7,No,NA,No
259,3,SOLS,3-4,Sporadic,Quiet,8.4,<4,Good,7,8,8,Academics,Sometimes,<1,Maybe,Yes,1-3,Not at all,Yes,5,Yes,NA,No
260,1,SOL,3-4,Daily study routine,Quiet,7.25,8+,Poor,5,3,9,Personal,Sometimes,1-2,Negative,Yes,1-3,Not at all,Yes,8,No,NA,Yes
261,3,SOCS,5-6,Weekdays only,Noisy,7.38,6-7,Fair,4,3,7,Personal,Often,3-4,Negative,Yes,<1,Somewhat,Yes,5,No,NA,No
262,5,SOCS,3-4,Weekdays only,Quiet,8.01,6-7,Good,5,4,3,Academics,Always,1-2,Maybe,Yes,1-3,Somewhat,No,7,No,NA,No
263,1,SOD,3-4,Daily study routine,Quiet,7.62,4-5,Good,4,6,4,Personal,Always,1-2,No effect,Yes,1-3,Somewhat,Yes,8,No,NA,Yes
264,3,SOL,3-4,Weekdays only,No dedicated space,6.67,6-7,Excellent,5,3,7,Academics,Sometimes,<1,Negative,Yes,1-3,Not at all,Yes,4,Yes,15+,Yes
265,4,SOCS,3-4,Sporadic,Noisy,6.24,<4,Fair,7,3,8,Academics,Sometimes,1-2,Negative,Yes,1-3,Somewhat,No,4,No,NA,No
266,4,SOL,3-4,Weekends only,Quiet,8.12,8+,Fair,7,6,6,Personal,Sometimes,1-2,Negative,Yes,<1,Somewhat,Yes,5,No,NA,No
267,3,SOAE,5-6,Weekdays only,Quiet,9.33,6-7,Good,5,4,3,Academics,Often,3-4,No effect,Yes,<1,Somewhat,No,9,No,NA,No
268,4,SOB,3-4,Daily study routine,Quiet,6.96,4-5,Fair,4,8,7,Time Management,Sometimes,<1,Positive,Yes,4-6,Not at all,No,4,Yes,NA,No
269,2,SOCS,3-4,Weekends only,Quiet,6.63,6-7,Poor,6,8,3,Academics,Rarely,3-4,Positive,Yes,1-3,Fully,No,4,No,NA,Yes
270,2,SOD,More than 6 hours,Daily study routine,Quiet,7.75,6-7,Fair,7,3,4,Personal,Often,1-2,Negative,No,1-3,Fully,No,4,No,NA,No
271,4,SOAE,1-2,Weekdays only,Noisy,7.07,6-7,Fair,7,6,8,Academics,Often,1-2,Positive,Yes,4-6,Somewhat,Yes,7,No,NA,No
272,4,SOHST,1-2,Weekdays only,No dedicated space,5.29,4-5,Poor,9,3,9,Academics,Rarely,1-2,Negative,No,<1,Fully,No,4,No,NA,No
273,4,SOL,1-2,Daily study routine,Quiet,9.0,4-5,Fair,6,9,6,Academics,Often,3-4,Negative,Yes,4-6,Somewhat,No,6,No,NA,No
274,5,SOHST,5-6,Daily study routine,Noisy,7.88,4-5,Fair,5,5,8,Personal,Rarely,4+,Negative,Yes,6+,Fully,No,8,No,NA,No
275,3,SOLS,1-2,Daily study routine,Quiet,4.0,4-5,Poor,4,8,3,Finance,Rarely,4+,Negative,Yes,4-6,Somewhat,Yes,4,No,NA,No
276,3,SOAE,1-2,Daily study routine,Noisy,6.45,8+,Good,9,9,7,Time Management,Sometimes,1-2,Maybe,Yes,4-6,Not at all,No,9,No,NA,No
277,4,SOHST,1-2,Daily study routine,Noisy,6.39,<4,Fair,5,7,4,Academics,Sometimes,1-2,Positive,No,<1,Somewhat,Yes,9,Yes,5-10,No
278,3,SOCS,1-2,Weekdays only,No dedicated space,8.17,6-7,Good,8,5,4,Academics,Sometimes,3-4,No effect,No,<1,Somewhat,No,4,Yes,NA,Yes
279,4,SOL,1-2,Weekends only,Quiet,6.93,4-5,Poor,7,3,8,Academics,Sometimes,3-4,Maybe,Yes,1-3,Fully,No,4,No,NA,No
280,4,SOB,3-4,Sporadic,Quiet,6.25,6-7,Poor,8,4,9,Finance,Often,<1,Negative,No,<1,Fully,Yes,6,No,NA,No
281,4,SOAE,3-4,Daily study routine,Noisy,7.07,6-7,Good,7,8,7,Time Management,Always,3-4,Negative,Yes,<1,Not at all,No,4,No,NA,No
282,2,SOCS,1-2,Daily study routine,Quiet,6.99,8+,Poor,7,7,9,Academics,Often,1-2,Maybe,No,1-3,Somewhat,No,4,Yes,NA,No
283,2,SOD,1-2,Weekdays only,Noisy,4.0,4-5,Poor,8,5,9,Finance,Sometimes,<1,Positive,No,<1,Somewhat,No,8,No,NA,Yes
284,1,SOLS,1-2,Weekdays only,Quiet,8.51,6-7,Fair,8,8,7,Academics,Always,1-2,Negative,Yes,4-6,Not at all,No,9,Yes,5-10,Yes
285,3,SOL,1-2,Daily study routine,No dedicated space,5.25,6-7,Excellent,5,6,3,Finance,Always,1-2,Negative,Yes,4-6,Not at all,No,6,No,NA,Yes
286,1,SOAE,3-4,Sporadic,Quiet,9.63,<4,Fair,9,4,8,Time Management,Always,1-2,Positive,Yes,4-6,Not at all,No,9,No,NA,No
287,2,SOAE,3-4,Daily study routine,Quiet,8.09,4-5,Fair,9,5,8,Academics,Sometimes,1-2,No effect,No,1-3,Somewhat,Yes,6,Yes,NA,No
288,3,SOB,1-2,Daily study routine,Quiet,7.4399999999999995,6-7,Good,8,6,5,Academics,Rarely,<1,No effect,Yes,4-6,Fully,No,9,Yes,NA,Yes
289,2,SOB,3-4,Daily study routine,No dedicated space,9.22,6-7,Fair,5,9,8,Time Management,Rarely,<1,No effect,No,4-6,Somewhat,Yes,4,No,NA,Yes
290,3,SOD,1-2,Weekdays only,Quiet,7.359999999999999,6-7,Fair,9,3,4,Time Management,Often,1-2,Positive,No,1-3,Somewhat,No,9,No,NA,No
291,1,SOLS,5-6,Weekends only,Quiet,9.51,4-5,Fair,5,6,3,Finance,Sometimes,3-4,Positive,Yes,<1,Fully,No,9,No,NA,Yes
292,1,SOD,3-4,Weekdays only,Quiet,7.25,6-7,Good,5,5,7,Finance,Sometimes,1-2,Negative,Yes,4-6,Somewhat,No,6,No,NA,No
293,4,SOCS,3-4,Weekdays only,Noisy,8.06,6-7,Fair,7,5,8,Academics,Sometimes,<1,Positive,No,4-6,Fully,No,5,No,NA,No
294,2,SOCS,1-2,Sporadic,Noisy,5.62,6-7,Poor,9,9,3,Finance,Sometimes,<1,Negative,Yes,1-3,Somewhat,No,6,Yes,NA,Yes
295,1,SOD,5-6,Daily study routine,Quiet,7.98,8+,Fair,9,3,8,Personal,Always,4+,Negative,No,<1,Somewhat,No,6,No,NA,Yes
296,3,SOLS,1-2,Daily study routine,Noisy,9.0,6-7,Good,7,6,7,Finance,Rarely,1-2,Negative,Yes,1-3,Somewhat,No,6,No,NA,Yes
297,4,SOD,1-2,Weekdays only,Noisy,5.29,6-7,Poor,8,6,6,Academics,Often,1-2,Negative,Yes,<1,Somewhat,No,7,No,NA,No
298,1,SOLS,1-2,Weekdays only,No dedicated space,6.73,4-5,Excellent,7,3,7,Academics,Often,<1,Negative,Yes,4-6,Not at all,No,7,No,NA,Yes
299,3,SOLS,1-2,Weekdays only,Quiet,6.67,6-7,Fair,9,6,7,Academics,Sometimes,3-4,Positive,No,6+,Somewhat,No,7,Yes,NA,No
300,1,SOHST,More than 6 hours,Weekdays only,Quiet,8.530000000000001,4-5,Excellent,9,8,7,Academics,Often,1-2,Negative,Yes,<1,Somewhat,Yes,6,No,NA,No
301,1,SOL,5-6,Daily study routine,Quiet,9.27,6-7,Excellent,8,3,8,Academics,Often,1-2,Negative,No,1-3,Not at all,No,5,No,NA,Yes
302,3,SOLS,1-2,Weekdays only,Quiet,7.380000000000001,6-7,Fair,7,4,5,Academics,Sometimes,<1,Negative,Yes,<1,Somewhat,No,6,No,NA,Yes
303,3,SOB,3-4,Daily study routine,Noisy,6.11,8+,Poor,4,5,7,Academics,Always,1-2,No effect,No,1-3,Not at all,No,4,No,NA,No
304,3,SOLS,More than 6 hours,Weekdays only,Quiet,9.15,4-5,Poor,4,4,4,Academics,Sometimes,3-4,No effect,Yes,<1,Fully,No,5,No,NA,No
305,4,SOLS,5-6,Weekdays only,Noisy,6.88,6-7,Fair,8,8,4,Finance,Sometimes,3-4,Maybe,Yes,1-3,Somewhat,No,7,No,NA,No
306,5,SOLS,3-4,Weekdays only,Quiet,8.68,6-7,Good,7,9,3,Academics,Sometimes,3-4,Positive,No,<1,Fully,No,9,No,NA,Yes
307,3,SOHST,5-6,Daily study routine,Quiet,8.76,4-5,Fair,7,8,5,Academics,Sometimes,3-4,Positive,Yes,<1,Fully,No,9,No,NA,Yes
308,2,SOHST,More than 6 hours,Daily study routine,Quiet,9.120000000000001,4-5,Fair,5,7,3,Academics,Sometimes,<1,Negative,Yes,1-3,Not at all,Yes,8,No,NA,Yes
309,4,SOCS,3-4,Weekends only,Quiet,8.49,4-5,Fair,9,7,4,Academics,Sometimes,1-2,No effect,Yes,<1,Fully,No,5,No,NA,No
310,2,SOHST,1-2,Weekends only,Quiet,6.09,4-5,Poor,6,7,9,Finance,Sometimes,3-4,Negative,No,1-3,Somewhat,No,7,No,NA,No
311,2,SOB,3-4,Daily study routine,Noisy,8.87,4-5,Poor,8,3,4,Academics,Sometimes,1-2,No effect,No,<1,Somewhat,Yes,5,Yes,NA,No
312,1,SOB,5-6,Weekdays only,Quiet,7.08,4-5,Poor,6,6,6,Personal,Sometimes,3-4,Negative,Yes,1-3,Somewhat,No,5,Yes,NA,No
313,1,SOHST,1-2,Weekdays only,Noisy,8.62,4-5,Poor,6,8,7,Time Management,Sometimes,<1,Maybe,Yes,4-6,Somewhat,No,9,No,NA,Yes
314,5,SOD,5-6,Daily study routine,Noisy,7.67,6-7,Poor,8,4,9,Personal,Always,1-2,Maybe,No,4-6,Somewhat,No,6,No,NA,No
315,4,SOL,1-2,Daily study routine,Noisy,4.0,6-7,Good,7,9,4,Finance,Often,3-4,Positive,Yes,4-6,Fully,No,4,No,NA,No
316,3,SOHST,1-2,Weekdays only,Quiet,6.01,8+,Fair,8,4,8,Time Management,Rarely,3-4,Negative,No,4-6,Somewhat,No,8,No,NA,No
317,2,SOLS,1-2,Sporadic,Quiet,5.84,6-7,Poor,6,4,8,Finance,Often,3-4,Negative,Yes,<1,Somewhat,No,7,Yes,NA,No
318,1,SOAE,1-2,Daily study routine,Noisy,6.0,6-7,Fair,9,4,3,Academics,Always,<1,Positive,No,<1,Somewhat,No,5,No,NA,No
319,1,SOL,More than 6 hours,Weekdays only,Quiet,9.35,8+,Poor,9,9,9,Academics,Sometimes,3-4,Negative,No,1-3,Somewhat,No,8,No,NA,No
320,2,SOL,5-6,Daily study routine,Quiet,10.0,6-7,Excellent,9,7,3,Time Management,Always,1-2,Negative,No,4-6,Not at all,No,5,No,NA,No
321,3,SOB,5-6,Daily study routine,Noisy,8.21,6-7,Good,7,4,7,Academics,Often,1-2,Positive,No,6+,Somewhat,No,9,Yes,NA,Yes
322,4,SOL,3-4,Weekends only,No dedicated space,6.46,6-7,Fair,4,9,7,Academics,Rarely,4+,Negative,Yes,<1,Somewhat,No,4,Yes,NA,No
323,3,SOHST,1-2,Weekends only,Quiet,4.81,4-5,Good,8,9,6,Personal,Sometimes,3-4,Negative,Yes,<1,Fully,No,9,No,NA,Yes
324,2,SOLS,3-4,Weekdays only,Quiet,6.8,4-5,Fair,9,6,5,Personal,Often,<1,Positive,Yes,<1,Somewhat,No,8,Yes,NA,No
325,5,SOLS,3-4,Daily study routine,Quiet,5.0,6-7,Good,8,9,3,Academics,Rarely,3-4,Negative,No,1-3,Somewhat,No,7,Yes,15+,Yes
326,4,SOCS,3-4,Weekends only,Noisy,6.41,6-7,Good,9,7,7,Finance,Rarely,<1,Positive,No,1-3,Fully,No,5,Yes,NA,No
327,3,SOLS,1-2,Daily study routine,Quiet,8.37,<4,Fair,7,4,3,Academics,Often,<1,No effect,No,<1,Somewhat,No,4,No,NA,No
328,3,SOLS,3-4,Daily study routine,Quiet,6.26,8+,Good,4,9,7,Personal,Often,1-2,Positive,Yes,1-3,Somewhat,No,9,No,NA,No
